businessname,latitude,longitude
DUNKIN DONUTS(ARRIVAL),34.244386753001244,-73.6513909034731
Dunkin Donuts at Old Colony,42.33575441764858,-71.05609133907329
DUNKIN DONUTS BLUE HILL AVE,42.30939851616906,-71.08204096565467
Dunkin' Donuts(C.A. Donuts),42.27645967913482,-71.16677087475338
Dunkin Donuts (Canal St.),42.36501558794254,-71.06117998991205
Dunkin Donuts (Causeway St.),42.36430952634646,-71.06294044447215
DUNKIN DONUTS (CITY PLACE),42.351883283472965,-71.0669981889451
DUNKIN DONUTS(DEPARTURE),34.244386753001244,-73.6513909034731
DUNKIN DONUTS/FIRST DONUTS INC,34.244386753001244,-73.6513909034731
DUNKIN DONUTS(FRANKLIN),42.35650951319032,-71.05332043982038
DUNKIN DONUTS/GALLERIA,42.33832756980068,-71.1069599358261
DUNKIN DONUTS @ HAYDEN HALL,34.244386753001244,-73.6513909034731
DUNKIN DONUTS/HYDE PK AVE,42.23788338845901,-71.13213338024512
Dunkin Donuts Kiosk,42.35002092416155,-71.05594180661743
Dunkin Donuts @ MBTA Station,42.34727746163753,-71.0754519093996
Dunkin Donuts North Station,34.244386753001244,-73.6513909034731
DUNKIN DONUTS/PLAZA ENT,34.244386753001244,-73.6513909034731
DUNKIN DONUTS(SATELLITE),34.244386753001244,-73.6513909034731
DUNKIN DONUTS/SCNVANOS,42.34087243950184,-71.08177012588757
Dunkin Donuts @ Stop & Shop,34.244386753001244,-73.6513909034731
Dunkin Donuts (V.F.W. Pkwy.),42.270835791462005,-71.17264052095251
DUNKIN DONUTS/WALDWIN GROUP,42.36990367062678,-71.0194396081619
DUNKIN' DONUTS-WATERMARK,42.3590345155255,-71.0548234375991
DUNKIN' DONUTS/WATERMARK,42.35469952274352,-71.06024045939556
DUNKIN'DONUTS/WATERMARK,42.35361952112114,-71.05824045702272
DUNKIN DONUTS (WEST ROXBURY),42.25863967449662,-71.16071090097722
DUNKIN DONUTS(WOLCOTT SQ. LLC),42.26757218645596,-71.11988612177446
DUNKIN/DONUT/WATERMARK,42.35221568978608,-71.06237973738808
Dunkin/Hudson Gate C25,34.244386753001244,-73.6513909034731
DUNKIN (STATION DONUTS),42.27518494099609,-71.13956170188817
Dunkin (store 1916),42.36340817459835,-71.02569916941749
Dunkin-Term E Airside,42.364539333151285,-71.02181778282163
Eataly 1St. Floor,42.34729635619704,-71.08145798177236
